,bowler,economy_0,SR_0,wickets_0,runs_0,dot_0,boundary_0,economy_1,SR_1,wickets_1,runs_1,dot_1,boundary_1,economy_2,SR_2,wickets_2,runs_2,dot_2,boundary_2,economy_3,SR_3,wickets_3,runs_3,dot_3,boundary_3,economy_4,SR_4,wickets_4,runs_4,dot_4,boundary_4,economy_5,SR_5,wickets_5,runs_5,dot_5,boundary_5,economy_6,SR_6,wickets_6,runs_6,dot_6,boundary_6,economy_7,SR_7,wickets_7,runs_7,dot_7,boundary_7,economy_8,SR_8,wickets_8,runs_8,dot_8,boundary_8,economy_9,SR_9,wickets_9,runs_9,dot_9,boundary_9,economy_10,SR_10,wickets_10,runs_10,dot_10,boundary_10,economy_11,SR_11,wickets_11,runs_11,dot_11,boundary_11,economy_12,SR_12,wickets_12,runs_12,dot_12,boundary_12,economy_13,SR_13,wickets_13,runs_13,dot_13,boundary_13,economy_14,SR_14,wickets_14,runs_14,dot_14,boundary_14,economy_15,SR_15,wickets_15,runs_15,dot_15,boundary_15,economy_16,SR_16,wickets_16,runs_16,dot_16,boundary_16,economy_17,SR_17,wickets_17,runs_17,dot_17,boundary_17,economy_18,SR_18,wickets_18,runs_18,dot_18,boundary_18,economy_19,SR_19,wickets_19,runs_19,dot_19,boundary_19
0,Mohammed Shami,5.58,33.0,0.17,5.5,3.44,0.67,6.71,35.71,0.19,6.85,3.22,0.97,6.85,30.96,0.32,9.91,4.53,1.47,7.26,33.27,0.37,12.32,5.15,1.88,7.47,36.79,0.4,14.63,5.87,2.25,7.67,40.74,0.4,16.1,6.14,2.51,7.64,41.24,0.39,15.93,6.06,2.47,7.65,42.18,0.38,15.93,6.01,2.46,7.7,42.37,0.38,16.3,6.02,2.52,7.73,43.03,0.4,17.02,6.21,2.6,7.71,43.24,0.4,17.2,6.26,2.61,7.67,42.87,0.41,17.52,6.37,2.63,7.71,42.22,0.44,18.61,6.6,2.74,7.79,42.76,0.45,19.31,6.66,2.84,7.86,40.21,0.52,20.75,6.96,3.01,7.94,37.62,0.59,22.25,7.25,3.18,8.14,35.02,0.7,24.47,7.55,3.48,8.3,31.54,0.85,26.8,7.9,3.8,8.52,28.19,1.05,29.71,8.29,4.17,8.66,25.47,1.25,31.76,8.6,4.44
1,Yash Dayal,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,0.33,7.0,3.33,1.17,7.0,21.0,0.33,7.0,3.33,1.17,8.83,26.5,0.57,15.14,5.14,2.57,9.31,30.25,0.5,15.12,4.75,2.62,9.33,28.0,0.56,15.56,4.78,2.78,9.19,24.5,0.67,16.33,5.11,2.89,9.29,26.33,0.67,17.56,5.22,3.11,9.29,26.33,0.67,17.56,5.22,3.11,9.0,27.0,0.67,18.0,5.56,3.11,8.79,23.86,0.78,18.56,6.0,3.22,9.3,26.57,0.78,20.67,6.0,3.56,9.45,26.0,0.89,23.11,6.56,3.89,9.39,27.0,0.89,24.0,6.67,4.0,9.39,27.0,0.89,24.0,6.67,4.0,9.39,27.0,0.89,24.0,6.67,4.0,9.6,26.67,1.0,26.67,7.0,4.44,9.48,25.6,1.11,28.44,7.22,4.56,9.27,27.8,1.11,30.89,7.78,4.67,9.25,22.77,1.44,32.89,8.44,4.78
2,LH Ferguson,4.0,1.0,2.0,2.0,2.0,0.0,7.23,15.67,0.43,6.71,3.0,1.0,7.33,18.33,0.38,6.88,2.75,1.0,8.62,25.0,0.38,9.62,3.08,1.54,8.24,18.36,0.5,9.18,3.09,1.45,8.17,19.33,0.54,10.36,3.46,1.68,7.86,19.0,0.58,11.03,3.81,1.74,7.39,17.76,0.64,11.3,4.33,1.73,7.27,18.0,0.67,12.0,4.64,1.82,7.32,19.57,0.7,13.64,5.24,2.03,7.5,22.0,0.7,15.33,5.52,2.24,7.63,21.33,0.77,16.46,5.63,2.37,7.69,21.82,0.8,17.46,5.89,2.51,7.71,23.54,0.8,18.83,6.29,2.66,7.72,22.77,0.86,19.51,6.57,2.77,7.76,22.69,0.91,20.74,6.91,2.94,7.88,23.08,1.03,23.74,7.46,3.26,8.22,25.44,1.03,26.17,7.66,3.57,8.37,24.52,1.2,29.43,8.31,4.06,8.54,23.76,1.31,31.23,8.54,4.31
3,Rashid Khan,9.23,0.0,0.0,6.67,1.0,0.67,9.23,0.0,0.0,6.67,1.0,0.67,9.12,38.0,0.2,7.6,1.8,1.0,9.35,22.33,0.38,8.38,2.0,1.12,7.42,26.17,0.32,8.26,2.84,1.0,8.05,30.56,0.28,8.59,2.59,1.09,7.1,26.6,0.3,7.98,2.62,0.86,6.5,27.55,0.28,7.67,2.72,0.76,6.58,30.74,0.32,9.76,3.46,0.99,6.46,31.91,0.35,11.22,4.05,1.12,6.37,27.74,0.47,12.97,4.74,1.27,6.44,27.27,0.57,15.41,5.45,1.5,6.4,25.19,0.67,16.98,6.02,1.63,6.42,22.75,0.84,19.04,6.76,1.85,6.35,20.83,1.01,21.05,7.71,2.04,6.47,20.93,1.12,23.43,8.34,2.32,6.48,20.43,1.21,24.65,8.83,2.43,6.52,20.16,1.28,25.86,9.22,2.6,6.52,20.21,1.28,25.92,9.23,2.6,6.55,20.26,1.29,26.21,9.26,2.64
4,HH Pandya,9.8,0.0,0.0,9.8,2.4,2.0,7.33,44.0,0.17,7.33,2.67,1.25,8.31,66.5,0.13,8.87,2.53,1.53,8.58,44.6,0.25,11.15,3.05,1.9,9.07,45.33,0.27,12.36,3.14,2.09,8.51,45.0,0.27,12.12,3.5,2.0,8.1,36.82,0.3,10.95,3.27,1.65,7.98,38.58,0.29,11.02,3.29,1.6,8.01,36.06,0.33,12.02,3.48,1.69,8.0,35.37,0.35,12.44,3.5,1.65,8.02,38.42,0.35,13.52,3.72,1.78,8.11,41.84,0.35,14.72,3.89,1.91,7.97,41.76,0.34,14.38,3.89,1.77,7.93,40.0,0.37,14.84,4.05,1.82,8.25,36.35,0.46,16.57,4.18,2.07,8.47,35.19,0.51,18.1,4.44,2.31,8.4,32.87,0.56,18.31,4.56,2.31,8.56,30.0,0.66,19.71,4.81,2.53,8.64,30.17,0.67,20.26,4.87,2.6,8.93,29.55,0.76,22.37,5.13,2.9
5,R Sai Kishore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0,0.0,9.0,0.0,0.0,9.0,0.5,1.0,7.75,31.0,0.33,10.33,1.67,1.0,7.0,17.5,0.67,11.67,2.33,1.0,6.0,16.0,0.75,12.0,3.25,0.75,6.33,19.0,0.75,14.25,3.75,1.0,5.92,17.75,1.0,17.75,5.5,1.25,6.85,22.25,1.0,22.25,5.5,2.0,7.29,25.5,1.0,25.5,5.75,2.5,7.07,21.2,1.0,21.2,5.0,2.0,7.07,21.2,1.0,21.2,5.0,2.0,7.62,20.33,1.2,24.4,5.2,2.4,7.62,20.33,1.2,24.4,5.2,2.4,7.62,20.33,1.2,24.4,5.2,2.4
6,TA Boult,5.91,25.38,0.24,5.97,3.68,0.9,6.08,28.12,0.22,6.13,3.59,0.94,6.88,30.13,0.4,11.97,5.74,1.91,6.97,31.06,0.41,12.74,5.96,2.03,7.1,31.81,0.47,15.09,6.81,2.41,7.27,30.98,0.53,16.28,7.09,2.63,7.27,31.15,0.53,16.37,7.14,2.64,7.27,30.57,0.54,16.46,7.18,2.65,7.27,28.87,0.58,16.65,7.23,2.68,7.26,29.16,0.58,16.82,7.27,2.69,7.27,29.2,0.59,17.22,7.38,2.73,7.29,28.79,0.62,17.72,7.47,2.78,7.37,28.0,0.67,18.67,7.59,2.88,7.34,27.77,0.68,18.87,7.68,2.9,7.38,28.5,0.69,19.73,7.88,3.03,7.53,29.39,0.72,21.1,8.03,3.21,7.66,30.48,0.74,22.67,8.26,3.42,8.07,29.19,0.92,26.95,8.82,4.03,8.32,28.56,1.04,29.65,9.1,4.4,8.43,25.47,1.27,32.33,9.63,4.78
7,M Prasidh Krishna,8.0,64.0,0.14,9.14,3.14,1.43,7.0,29.4,0.24,7.17,3.17,1.05,7.63,34.0,0.25,8.5,3.32,1.32,7.91,40.77,0.3,12.05,4.52,1.91,8.04,44.79,0.31,13.93,5.09,2.2,8.08,44.94,0.35,15.63,5.72,2.43,8.12,44.41,0.35,15.73,5.69,2.46,8.15,43.0,0.36,15.48,5.54,2.42,8.18,43.05,0.38,16.36,5.76,2.56,8.15,44.63,0.38,16.96,5.96,2.64,8.18,45.63,0.38,17.34,6.04,2.7,8.16,40.82,0.44,17.96,6.22,2.74,8.21,39.0,0.48,18.72,6.38,2.88,8.21,38.92,0.49,19.08,6.43,2.9,8.25,38.63,0.53,20.45,6.73,3.08,8.28,37.55,0.61,22.82,7.31,3.41,8.39,37.88,0.65,24.51,7.65,3.67,8.53,37.81,0.73,27.43,8.27,4.08,8.82,34.91,0.9,31.49,8.9,4.59,9.08,32.24,1.06,34.14,9.31,5.02
8,YS Chahal,4.2,21.0,0.2,4.2,3.8,0.4,5.23,22.67,0.23,5.23,3.31,0.69,6.7,26.8,0.29,7.88,3.59,1.06,7.53,27.89,0.32,8.96,3.14,1.25,7.7,29.08,0.32,9.18,3.0,1.29,8.11,30.71,0.36,11.11,3.51,1.64,7.66,26.66,0.37,9.8,2.94,1.24,7.39,26.37,0.36,9.57,2.9,1.12,7.29,25.11,0.45,11.41,3.51,1.29,7.28,25.48,0.52,13.25,4.06,1.47,7.2,25.45,0.59,15.11,4.67,1.64,7.24,24.73,0.68,16.87,5.16,1.82,7.33,23.7,0.81,19.11,5.74,2.06,7.42,23.81,0.88,21.06,6.17,2.27,7.5,23.73,0.98,23.18,6.73,2.51,7.55,21.88,1.16,25.42,7.2,2.69,7.6,21.66,1.23,26.66,7.42,2.84,7.76,21.83,1.28,28.04,7.58,2.99,7.76,21.63,1.31,28.28,7.65,3.02,7.77,21.51,1.32,28.45,7.7,3.04
9,OC McCoy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,2.5,1.0,7.0,0.0,0.0,7.0,2.5,1.0,7.0,0.0,0.0,7.0,2.5,1.0,6.0,0.0,0.0,6.0,2.0,0.5,8.6,0.0,0.0,10.75,2.0,1.0,10.25,82.0,0.17,13.67,2.5,1.5,11.11,50.0,0.29,14.29,2.29,1.71,10.45,38.33,0.43,16.43,2.86,2.0,10.45,38.33,0.43,16.43,2.86,2.0,9.64,45.0,0.43,19.29,3.0,2.0,9.64,45.0,0.43,19.29,3.0,2.0,9.88,52.67,0.43,22.57,3.29,2.43,9.88,52.67,0.43,22.57,3.29,2.43,9.32,35.4,0.71,25.29,4.29,2.71,9.2,30.67,0.86,26.29,4.71,2.86,9.56,35.33,0.86,30.29,5.14,3.43,9.37,22.0,1.57,34.57,6.71,3.86
